"approval_of_congress_binary","trust_clean","trust_numeric","trust_binary","big_interests_clean","big_interests_numeric","waste_clean","waste_numeric","income_clean","income_category","race_clean","education_clean","education_category","ideology_clean","ideology_numeric","congress_approval_clean","congress_approval_numeric","age_clean","age_category","sex_clean","marital_clean","marital_simple","economy_clean","economy_numeric","elections_responsive_clean","elections_responsive_numeric","social_trust_clean","social_trust_numeric","congress_approval_category","congress_binary","party_clean","party_numeric","state_clean"
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","Hispanic",13,"Bachelor's degree","Conservative",6,"Disapprove strongly",4,50,"45-64","Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,NA,2,"Strong Republican",7,40
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","Asian/Pacific Islander, non-Hispanic",10,"Some college/Associate","Moderate",4,"Disapprove not strongly",3,41,"30-44","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"About half the time",3,NA,2,"Independent",4,16
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,24,"$100,000+","White, non-Hispanic",10,"Some college/Associate","Liberal",2,"Disapprove strongly",4,44,"30-44","Female","Married: spouse present","Married","Somewhat better",2,"Some",2,"About half the time",3,NA,2,"Strong Democrat",1,51
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","Asian/Pacific Islander, non-Hispanic",11,"Some college/Associate",NA,NA,"Approve not strongly",2,45,"45-64","Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Some of the time",4,"Approve",1,"Not very strong Republican",6,6
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,15,"$50,000-$99,999","White, non-Hispanic",16,"Graduate degree","Moderate",4,"Disapprove strongly",4,80,"65+","Male","Married: spouse absent","Married","Much worse",5,"Not much",3,"Some of the time",4,NA,2,"Independent-Republican",5,8
1,"Some of the time",4,0,"For benefit of all",2,"Waste some",2,13,"$25,000-$49,999","White, non-Hispanic",10,"Some college/Associate","Moderate",4,"Approve not strongly",2,75,"65+","Female","Widowed","Previously married","Somewhat better",2,"Some",2,"Some of the time",4,"Approve",1,"Independent-Democrat",3,48
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","White, non-Hispanic",11,"Some college/Associate","Moderate",4,"Disapprove strongly",4,41,"30-44","Female","Married: spouse present","Married","Much worse",5,"Not much",3,"About half the time",3,NA,2,"Independent",4,55
1,"About half the time",3,0,"Run by big interests",1,"Waste a lot",1,3,"Under $25,000","White, non-Hispanic",10,"Some college/Associate",NA,NA,"Approve not strongly",2,49,"45-64","Female","Married: spouse present","Married","About the same",3,"Not much",3,"Never",5,"Approve",1,"Not very strong Republican",6,NA
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","Hispanic",9,"High school graduate",NA,NA,"Disapprove strongly",4,45,"45-64","Male","Separated","Previously married","Much worse",5,"Not much",3,"Most of the time",2,NA,2,"Independent-Democrat",3,6
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,17,"$50,000-$99,999","Hispanic",9,"High school graduate",NA,NA,"Disapprove strongly",4,41,"30-44","Female","Married: spouse present","Married","Somewhat better",2,"Some",2,"Some of the time",4,NA,2,"Strong Democrat",1,24
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",9,"High school graduate","Moderate",4,"Approve not strongly",2,59,"45-64","Male","Married: spouse present","Married","About the same",3,"A good deal",1,"Most of the time",2,"Approve",1,"Not very strong Democrat",2,55
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",9,"High school graduate","Slightly conservative",5,"Disapprove not strongly",3,34,"30-44","Female","Separated","Previously married","About the same",3,"Some",2,"Never",5,NA,2,"Independent-Republican",5,NA
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,28,"$100,000+","Asian/Pacific Islander, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,42,"30-44","Male","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,NA,2,"Independent-Democrat",3,51
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","Hispanic",10,"Some college/Associate",NA,NA,"Disapprove strongly",4,70,"65+","Male","Married: spouse present","Married","Much worse",5,"A good deal",1,"About half the time",3,NA,2,"Strong Republican",7,32
2,"About half the time",3,0,"Run by big interests",1,"Waste some",2,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,58,"45-64","Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,NA,2,"Independent-Democrat",3,25
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,59,"45-64","Male","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,NA,2,"Strong Democrat",1,33
