"trust_fed_gov","gov_run_by_big_interests","gov_wastes_tax_money","household_income_cat","race_ethnicity_summary","education_attainment","party_id_7pt","ideology_7pt","congress_approval","age","gender","sex","marital_status","natl_econ_retrospective","elections_responsive","social_trust","trust_fed_gov_pos","gov_run_pos","gov_waste_pos","z_trust_fed_gov","z_gov_run","z_gov_waste","trust_index_z"
5,1,1,27,3,2,7,6,4,-1,1,1,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
5,1,1,26,4,0,4,4,3,-1,2,2,-3,5,3,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,2,24,1,0,1,2,4,-1,2,2,-3,2,2,3,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,12,4,4,6,99,2,-1,1,1,-3,4,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,15,1,0,5,4,4,-1,1,1,-3,5,3,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,2,2,13,1,0,3,4,2,-1,2,2,-3,2,2,4,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
5,1,1,12,1,0,4,4,4,-1,2,2,-3,5,3,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,3,1,4,6,99,2,-1,2,2,-3,3,3,5,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
5,1,1,1,3,4,3,99,4,-1,1,1,-3,5,3,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,2,17,3,4,1,99,4,-1,2,2,-3,2,2,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,25,1,2,2,4,2,-1,1,1,-3,3,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,1,1,0,5,5,3,-1,2,2,-3,3,2,5,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,2,28,4,4,3,4,4,-1,1,1,-3,2,1,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,12,3,0,7,99,4,-1,1,1,-3,5,1,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,28,1,2,3,3,4,-1,1,1,-3,5,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
2,2,2,27,1,0,1,3,4,-1,1,1,-3,1,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
3,2,2,20,1,2,2,3,4,-1,2,2,-3,2,2,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
5,1,1,26,3,1,7,6,2,-1,1,1,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,1,26,1,0,3,99,4,-1,1,1,-3,3,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,15,1,2,1,2,3,-1,1,1,-3,2,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
2,2,1,-9,1,0,7,6,2,-1,2,2,-3,5,1,2,4,2,1,1.63783236547009,2.21072948681807,-0.658395278889745,1.06338885779947
4,1,1,25,1,0,6,5,4,-1,1,1,-3,4,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,2,25,1,1,5,5,4,-1,1,1,-3,3,2,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
5,2,1,5,3,4,2,99,3,-1,1,1,-3,2,2,5,1,2,1,-1.51363835735582,2.21072948681807,-0.658395278889745,0.0128986168575032
5,1,1,23,1,0,5,4,4,-1,1,1,-3,5,3,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,9,1,4,1,2,4,-1,2,2,-3,2,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,27,1,1,7,6,4,-1,1,1,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,27,1,3,3,3,3,-1,2,2,-3,2,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,28,2,0,2,99,3,-1,2,2,-3,3,2,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,21,1,1,2,2,3,-1,2,2,-3,2,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,13,1,0,1,1,4,-1,2,2,-3,3,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,23,1,2,6,6,2,-1,1,1,-3,4,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,27,1,0,7,6,4,-1,2,2,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,1,1,0,7,7,4,-1,1,1,-3,5,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,26,1,0,7,6,1,-1,2,2,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,1,1,0,7,6,4,-1,1,1,-3,4,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
5,1,2,28,1,4,3,3,3,-1,1,1,-3,2,2,2,1,1,2,-1.51363835735582,-0.452252672667008,1.21758519868391,-0.249435277112973
4,1,1,21,4,4,7,99,3,-1,2,2,-3,2,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,2,2,26,1,2,3,5,2,-1,1,1,-3,2,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
