"state_name","n","pct_low","mean_trust"
"alaska",4,100,4.25
"montana",15,100,3.93
"south dakota",10,100,3.7
"wyoming",5,100,4.4
"louisiana",46,97.5,4.09
"north dakota",27,93.8,3.67
"maine",17,92.3,3.88
"west virginia",22,90,3.91
"kansas",68,86.5,3.69
"tennessee",130,86,3.73
"idaho",36,85.7,3.75
"alabama",85,85.5,3.68
"north carolina",144,84.5,3.58
"missouri",144,84.1,3.64
"delaware",9,83.3,3.56
"texas",355,82.9,3.63
"utah",67,82,3.6
"connecticut",85,81.5,3.56
"indiana",127,81.4,3.54
"kentucky",73,81.1,3.59
"ohio",173,80.9,3.66
"arkansas",56,80.5,3.57
"florida",283,80.4,3.57
"georgia",151,79.8,3.5
"south carolina",107,79.7,3.58
"nebraska",25,78.9,3.64
"pennsylvania",185,78.9,3.54
"minnesota",105,78.4,3.5
"virginia",130,78.3,3.46
"hawaii",9,77.8,3.67
"michigan",188,77.8,3.54
"massachusetts",115,77.5,3.47
"maryland",104,77.3,3.5
"oregon",102,76.9,3.56
"colorado",102,76.4,3.49
"wisconsin",127,76.3,3.5
"arizona",106,75.3,3.49
"nevada",30,75,3.37
"rhode island",14,75,3.5
"vermont",12,75,3.5
"new jersey",121,74.7,3.49
"illinois",198,74.6,3.46
"california",406,74.2,3.45
"new york",195,74.1,3.5
"iowa",69,73.3,3.48
"oklahoma",45,73.3,3.51
"washington",125,70.5,3.37
"new hampshire",27,68.4,3.37
"mississippi",33,68.2,3.33
"new mexico",40,58.6,3.22
"district of columbia",19,26.7,2.63
