"state_name","mean_trust","pct_low","n","trust_dev","national_mean"
"wyoming",4.4,100,5,0.84,3.56
"alaska",4.25,100,4,0.69,3.56
"louisiana",4.09,97.5,46,0.53,3.56
"montana",3.93,100,15,0.37,3.56
"west virginia",3.91,90,22,0.35,3.56
"maine",3.88,92.3076923076923,17,0.32,3.56
"idaho",3.75,85.7142857142857,36,0.19,3.56
"tennessee",3.73,86,130,0.17,3.56
"south dakota",3.7,100,10,0.14,3.56
"kansas",3.69,86.5384615384615,68,0.13,3.56
"alabama",3.68,85.4838709677419,85,0.12,3.56
"hawaii",3.67,77.7777777777778,9,0.11,3.56
"north dakota",3.67,93.75,27,0.11,3.56
"ohio",3.66,80.8823529411765,173,0.11,3.56
"missouri",3.64,84.1121495327103,144,0.08,3.56
"nebraska",3.64,78.9473684210526,25,0.08,3.56
"texas",3.63,82.9268292682927,355,0.07,3.56
"utah",3.6,82,67,0.04,3.56
"kentucky",3.59,81.1320754716981,73,0.03,3.56
"north carolina",3.58,84.5360824742268,144,0.02,3.56
"south carolina",3.58,79.7297297297297,107,0.02,3.56
"arkansas",3.57,80.4878048780488,56,0.01,3.56
"connecticut",3.56,81.4814814814815,85,0.01,3.56
"florida",3.57,80.4020100502513,283,0.01,3.56
"delaware",3.56,83.3333333333333,9,0,3.56
"oregon",3.56,76.9230769230769,102,0,3.56
"indiana",3.54,81.3953488372093,127,-0.02,3.56
"michigan",3.54,77.7777777777778,188,-0.02,3.56
"pennsylvania",3.54,78.90625,185,-0.02,3.56
"minnesota",3.5,78.3783783783784,105,-0.05,3.56
"oklahoma",3.51,73.3333333333333,45,-0.05,3.56
"georgia",3.5,79.8076923076923,151,-0.06,3.56
"maryland",3.5,77.3333333333333,104,-0.06,3.56
"new york",3.5,74.1496598639456,195,-0.06,3.56
"rhode island",3.5,75,14,-0.06,3.56
"vermont",3.5,75,12,-0.06,3.56
"wisconsin",3.5,76.3440860215054,127,-0.06,3.56
"arizona",3.49,75.3424657534247,106,-0.07,3.56
"colorado",3.49,76.3888888888889,102,-0.07,3.56
"new jersey",3.49,74.7252747252747,121,-0.07,3.56
"iowa",3.48,73.3333333333333,69,-0.08,3.56
"illinois",3.46,74.6376811594203,198,-0.09,3.56
"massachusetts",3.47,77.5280898876404,115,-0.09,3.56
"virginia",3.46,78.3132530120482,130,-0.1,3.56
"california",3.45,74.1830065359477,406,-0.11,3.56
"nevada",3.37,75,30,-0.19,3.56
"new hampshire",3.37,68.421052631579,27,-0.19,3.56
"washington",3.37,70.4545454545455,125,-0.19,3.56
"mississippi",3.33,68.1818181818182,33,-0.23,3.56
"new mexico",3.22,58.6206896551724,40,-0.33,3.56
"district of columbia",2.63,26.6666666666667,19,-0.93,3.56
